OR4F5	ENSG00000186092.7	ENST00000641515.2
CDCA8	ENSG00000134690.11	ENST00000327331.2
EPHA10	ENSG00000183317.17	ENST00000427468.6
MANEAL	ENSG00000185090.15	ENST00000373045.11
YRDC	ENSG00000196449.4	ENST00000373044.3
C1orf122	ENSG00000197982.14	ENST00000373043.1
MTF1	ENSG00000188786.10	ENST00000373036.5
INPP5B	ENSG00000204084.14	ENST00000373024.8
SF3A3	ENSG00000183431.12	ENST00000373019.5
FHL3	ENSG00000183386.11	ENST00000850578.1
UTP11	ENSG00000183520.12	ENST00000373014.5
POU3F1	ENSG00000185668.8	ENST00000373012.5
RRAGC	ENSG00000116954.8	ENST00000373001.4
MYCBP	ENSG00000214114.9	ENST00000397572.5
ENSG00000274944	ENSG00000274944.4	ENST00000621281.1
GJA9	ENSG00000131233.10	ENST00000357771.5
RHBDL2	ENSG00000158315.11	ENST00000372990.6
AKIRIN1	ENSG00000174574.16	ENST00000432648.8
NDUFS5	ENSG00000168653.11	ENST00000372967.3
MACF1	ENSG00000127603.32	ENST00000361689.7
BMP8A	ENSG00000183682.8	ENST00000331593.6
PABPC4	ENSG00000090621.15	ENST00000372858.8
HEYL	ENSG00000163909.8	ENST00000372852.4
NT5C1A	ENSG00000116981.4	ENST00000235628.2
HPCAL4	ENSG00000116983.13	ENST00000612703.3
PPIE	ENSG00000084072.17	ENST00000356511.6
BMP8B	ENSG00000116985.12	ENST00000372827.8
OXCT2	ENSG00000198754.5	ENST00000327582.5
TRIT1	ENSG00000043514.17	ENST00000316891.10
MYCL	ENSG00000116990.12	ENST00000372816.3
MFSD2A	ENSG00000168389.18	ENST00000420632.6
CAP1	ENSG00000131236.18	ENST00000372797.7
PPT1	ENSG00000131238.18	ENST00000642050.2
RLF	ENSG00000117000.9	ENST00000372771.5
TMCO2	ENSG00000188800.6	ENST00000372766.4
ZMPSTE24	ENSG00000084073.10	ENST00000372759.4
COL9A2	ENSG00000049089.15	ENST00000372748.8
SMAP2	ENSG00000084070.12	ENST00000372718.8
ZFP69B	ENSG00000187801.15	ENST00000411995.6
ZFP69	ENSG00000187815.10	ENST00000372706.6
EXO5	ENSG00000164002.12	ENST00000358527.6
ZNF684	ENSG00000117010.17	ENST00000648542.1
RIMS3	ENSG00000117016.10	ENST00000372684.8
NFYC	ENSG00000066136.21	ENST00000447388.8
KCNQ4	ENSG00000117013.17	ENST00000347132.10
CITED4	ENSG00000179862.7	ENST00000372638.4
CTPS1	ENSG00000171793.17	ENST00000650070.2
SLFNL1	ENSG00000171790.16	ENST00000359345.5
SCMH1	ENSG00000010803.17	ENST00000695335.1
FOXO6	ENSG00000204060.8	ENST00000641094.2
EDN2	ENSG00000127129.10	ENST00000372587.5
HIVEP3	ENSG00000127124.16	ENST00000372583.6
ENSG00000284895	ENSG00000284895.1	ENST00000646142.1
GUCA2B	ENSG00000044012.4	ENST00000372581.2
GUCA2A	ENSG00000197273.4	ENST00000357001.3
FOXJ3	ENSG00000198815.9	ENST00000372573.5
RIMKLA	ENSG00000177181.15	ENST00000431473.4
ZMYND12	ENSG00000066185.13	ENST00000372565.8
PPCS	ENSG00000127125.9	ENST00000372561.4
CCDC30	ENSG00000186409.19	ENST00000657597.2
PPIH	ENSG00000171960.12	ENST00000372550.6
YBX1	ENSG00000065978.19	ENST00000321358.12
CLDN19	ENSG00000164007.11	ENST00000539749.5
P3H1	ENSG00000117385.16	ENST00000397054.7
C1orf50	ENSG00000164008.17	ENST00000372525.7
ENSG00000283580	ENSG00000283580.4	ENST00000603943.6
TMEM269	ENSG00000274386.6	ENST00000637012.2
SVBP	ENSG00000177868.12	ENST00000372521.9
ERMAP	ENSG00000164010.15	ENST00000372517.8
ZNF691	ENSG00000164011.18	ENST00000372502.5
SLC2A1	ENSG00000117394.24	ENST00000426263.10
CFAP144	ENSG00000186973.11	ENST00000410048.5
EBNA1BP2	ENSG00000117395.13	ENST00000431635.6
CFAP57	ENSG00000243710.8	ENST00000372492.9
TMEM125	ENSG00000179178.11	ENST00000439858.6
C1orf210	ENSG00000253313.6	ENST00000523677.6
TIE1	ENSG00000066056.15	ENST00000372476.8
MPL	ENSG00000117400.18	ENST00000372470.9
CDC20	ENSG00000117399.14	ENST00000310955.11
ELOVL1	ENSG00000066322.15	ENST00000413844.3
MED8	ENSG00000159479.17	ENST00000290663.10
SZT2	ENSG00000198198.17	ENST00000562955.2
HYI	ENSG00000178922.18	ENST00000583037.5
PTPRF	ENSG00000142949.17	ENST00000359947.9
KDM4A	ENSG00000066135.13	ENST00000372396.4
ENSG00000284989	ENSG00000284989.1	ENST00000645057.1
ST3GAL3	ENSG00000126091.21	ENST00000545417.5
ARTN	ENSG00000117407.17	ENST00000414809.7
IPO13	ENSG00000117408.11	ENST00000372343.8
DPH2	ENSG00000132768.14	ENST00000255108.8
ATP6V0B	ENSG00000117410.14	ENST00000236067.8
B4GALT2	ENSG00000117411.18	ENST00000372324.6
CCDC24	ENSG00000159214.13	ENST00000372318.8
SLC6A9	ENSG00000196517.13	ENST00000372306.7
KLF17	ENSG00000171872.5	ENST00000372299.4
KLF18	ENSG00000283039.1	ENST00000634670.1
DMAP1	ENSG00000178028.14	ENST00000361745.10
ERI3	ENSG00000117419.16	ENST00000372257.7
RNF220	ENSG00000187147.19	ENST00000355387.6
TMEM53	ENSG00000126106.14	ENST00000372244.3
ARMH1	ENSG00000198520.12	ENST00000458657.6
KIF2C	ENSG00000142945.13	ENST00000372224.9
RPS8	ENSG00000142937.12	ENST00000396651.8
BEST4	ENSG00000142959.6	ENST00000718432.1
PLK3	ENSG00000173846.14	ENST00000850614.1
DYNLT4	ENSG00000188396.4	ENST00000339355.3
BTBD19	ENSG00000222009.10	ENST00000718238.1
PTCH2	ENSG00000117425.15	ENST00000447098.7
EIF2B3	ENSG00000070785.17	ENST00000620860.4
HECTD3	ENSG00000126107.15	ENST00000372172.5
UROD	ENSG00000126088.14	ENST00000652165.1
ZSWIM5	ENSG00000162415.7	ENST00000359600.6
HPDL	ENSG00000186603.7	ENST00000334815.6
MUTYH	ENSG00000132781.22	ENST00000529984.5
ENSG00000288208	ENSG00000288208.1	ENST00000671898.1
TOE1	ENSG00000132773.12	ENST00000372090.6
TESK2	ENSG00000070759.17	ENST00000372086.4
CCDC163	ENSG00000280670.3	ENST00000629482.3
MMACHC	ENSG00000132763.15	ENST00000401061.9
PRDX1	ENSG00000117450.15	ENST00000676549.1
AKR1A1	ENSG00000117448.14	ENST00000372070.7
NASP	ENSG00000132780.17	ENST00000537798.5
CCDC17	ENSG00000159588.15	ENST00000528266.6
GPBP1L1	ENSG00000159592.11	ENST00000290795.7
TMEM69	ENSG00000159596.7	ENST00000372025.5
IPP	ENSG00000197429.11	ENST00000396478.4
MAST2	ENSG00000086015.23	ENST00000361297.7
PIK3R3	ENSG00000117461.15	ENST00000420542.5
P3R3URF-PIK3R3	ENSG00000278139.1	ENST00000540385.2
TSPAN1	ENSG00000117472.10	ENST00000372003.6
P3R3URF	ENSG00000250719.2	ENST00000506599.2
POMGNT1	ENSG00000085998.15	ENST00000371992.1
LURAP1	ENSG00000171357.6	ENST00000371980.4
RAD54L	ENSG00000085999.13	ENST00000671528.1
LRRC41	ENSG00000132128.18	ENST00000617190.5
UQCRH	ENSG00000173660.12	ENST00000311672.10
NSUN4	ENSG00000117481.12	ENST00000718455.1
FAAH	ENSG00000117480.16	ENST00000243167.9
DMBX1	ENSG00000197587.12	ENST00000360032.4
TMEM275	ENSG00000282881.3	ENST00000634804.2
KNCN	ENSG00000162456.10	ENST00000481882.7
MKNK1	ENSG00000079277.22	ENST00000341183.9
MOB3C	ENSG00000142961.16	ENST00000319928.9
ATPAF1	ENSG00000123472.13	ENST00000576409.5
TEX38	ENSG00000186118.9	ENST00000334122.5
EFCAB14	ENSG00000159658.15	ENST00000674435.1
CYP4B1	ENSG00000142973.16	ENST00000271153.8
CYP4A11	ENSG00000187048.14	ENST00000310638.9
CYP4X1	ENSG00000186377.8	ENST00000371901.4
CYP4Z1	ENSG00000186160.5	ENST00000334194.4
CYP4A22	ENSG00000162365.13	ENST00000371891.8
PDZK1IP1	ENSG00000162366.8	ENST00000371885.1
TAL1	ENSG00000162367.12	ENST00000691006.1
STIL	ENSG00000123473.17	ENST00000337817.10
CMPK1	ENSG00000162368.15	ENST00000699074.1
FOXE3	ENSG00000186790.6	ENST00000335071.4
FOXD2	ENSG00000186564.6	ENST00000334793.6
TRABD2B	ENSG00000269113.4	ENST00000606738.3
SLC5A9	ENSG00000117834.13	ENST00000236495.9
SPATA6	ENSG00000132122.12	ENST00000396199.7
AGBL4	ENSG00000186094.18	ENST00000371839.6
BEND5	ENSG00000162373.13	ENST00000371833.4
ELAVL4	ENSG00000162374.18	ENST00000448907.7
DMRTA2	ENSG00000142700.12	ENST00000404795.4
FAF1	ENSG00000185104.21	ENST00000396153.7
CDKN2C	ENSG00000123080.12	ENST00000262662.5
C1orf185	ENSG00000204006.11	ENST00000371759.7
RNF11	ENSG00000123091.5	ENST00000242719.4
TTC39A	ENSG00000085831.16	ENST00000413473.6
EPS15	ENSG00000085832.18	ENST00000371733.8
OSBPL9	ENSG00000117859.19	ENST00000371714.5
NRDC	ENSG00000078618.23	ENST00000354831.11
RAB3B	ENSG00000169213.7	ENST00000371655.4
TXNDC12	ENSG00000117862.14	ENST00000715260.1
ENSG00000285839	ENSG00000285839.1	ENST00000648686.1
KTI12	ENSG00000198841.4	ENST00000371614.2
BTF3L4	ENSG00000134717.18	ENST00000313334.13
ZFYVE9	ENSG00000157077.16	ENST00000371591.2
CC2D1B	ENSG00000154222.15	ENST00000284376.8
ORC1	ENSG00000085840.13	ENST00000371568.8
PRPF38A	ENSG00000134748.13	ENST00000257181.10
TUT4	ENSG00000134744.14	ENST00000371544.7
GPX7	ENSG00000116157.6	ENST00000361314.5
SHISAL2A	ENSG00000182183.15	ENST00000517870.2
COA7	ENSG00000162377.6	ENST00000371538.5
ZYG11B	ENSG00000162378.13	ENST00000294353.7
ZYG11A	ENSG00000203995.11	ENST00000371532.5
ECHDC2	ENSG00000121310.17	ENST00000536120.5
SCP2	ENSG00000116171.19	ENST00000371514.8
PODN	ENSG00000174348.14	ENST00000395871.7
SLC1A7	ENSG00000162383.13	ENST00000371494.9
CPT2	ENSG00000157184.7	ENST00000636867.1
CZIB	ENSG00000162384.14	ENST00000294360.5
MAGOH	ENSG00000162385.11	ENST00000371470.8
LRP8	ENSG00000157193.18	ENST00000306052.12
ENSG00000293253	ENSG00000293253.2	ENST00000566461.2
DMRTB1	ENSG00000143006.7	ENST00000371445.3
GLIS1	ENSG00000174332.6	ENST00000628545.2
NDC1	ENSG00000058804.12	ENST00000371429.4
YIPF1	ENSG00000058799.15	ENST00000072644.7
DIO1	ENSG00000211452.12	ENST00000361921.8
IFT25	ENSG00000081870.12	ENST00000371378.6
LRRC42	ENSG00000116212.16	ENST00000713564.1
LDLRAD1	ENSG00000203985.11	ENST00000371360.2
TMEM59	ENSG00000116209.12	ENST00000234831.10
TCEANC2	ENSG00000116205.14	ENST00000234827.6
ENSG00000256407	ENSG00000256407.2	ENST00000637610.1
CDCP2	ENSG00000157211.12	ENST00000530059.3
CYB5RL	ENSG00000215883.11	ENST00000534324.6
MRPL37	ENSG00000116221.15	ENST00000605337.5
SSBP3	ENSG00000157216.17	ENST00000610401.6
ACOT11	ENSG00000162390.18	ENST00000371316.3
FAM151A	ENSG00000162391.12	ENST00000371304.2
MROH7	ENSG00000184313.20	ENST00000421030.7
MROH7-TTC4	ENSG00000271723.5	ENST00000414150.6
TTC4	ENSG00000243725.7	ENST00000371281.4
PARS2	ENSG00000162396.6	ENST00000371279.4
TTC22	ENSG00000006555.11	ENST00000371276.9
CIMAP2	ENSG00000162398.12	ENST00000358193.7
DHCR24	ENSG00000116133.13	ENST00000371269.9
TMEM61	ENSG00000143001.7	ENST00000715514.1
BSND	ENSG00000162399.9	ENST00000651561.1
PCSK9	ENSG00000169174.13	ENST00000710286.1
USP24	ENSG00000162402.15	ENST00000294383.7
ENSG00000284686	ENSG00000284686.1	ENST00000642129.1
PLPP3	ENSG00000162407.9	ENST00000371250.4
PRKAA2	ENSG00000162409.12	ENST00000371244.9
FYB2	ENSG00000187889.13	ENST00000343433.7
C8A	ENSG00000157131.12	ENST00000695678.1
C8B	ENSG00000021852.14	ENST00000696164.1
DAB1	ENSG00000173406.16	ENST00000371236.7
OMA1	ENSG00000162600.12	ENST00000371226.8
TACSTD2	ENSG00000184292.7	ENST00000371225.4
MYSM1	ENSG00000162601.12	ENST00000655340.1
JUN	ENSG00000177606.9	ENST00000371222.4
FGGY	ENSG00000172456.18	ENST00000371218.8
HOOK1	ENSG00000134709.13	ENST00000371208.5
CYP2J2	ENSG00000134716.11	ENST00000371204.4
C1orf87	ENSG00000162598.13	ENST00000371201.3
NFIA	ENSG00000162599.18	ENST00000371191.5
TM2D1	ENSG00000162604.13	ENST00000371180.7
PATJ	ENSG00000132849.22	ENST00000371158.6
L1TD1	ENSG00000240563.3	ENST00000498273.2
KANK4	ENSG00000132854.19	ENST00000371153.9
USP1	ENSG00000162607.13	ENST00000371146.5
DOCK7	ENSG00000116641.18	ENST00000635253.2
ANGPTL3	ENSG00000132855.5	ENST00000371129.4
ATG4C	ENSG00000125703.15	ENST00000317868.9
FOXD3	ENSG00000187140.6	ENST00000371116.4
ALG6	ENSG00000088035.18	ENST00000263440.6
ITGB3BP	ENSG00000142856.18	ENST00000271002.15
EFCAB7	ENSG00000203965.13	ENST00000371088.5
PGM1	ENSG00000079739.17	ENST00000371084.8
ROR1	ENSG00000185483.13	ENST00000371079.6
UBE2U	ENSG00000177414.14	ENST00000371077.10
CACHD1	ENSG00000158966.16	ENST00000651257.2
RAVER2	ENSG00000162437.15	ENST00000294428.8
JAK1	ENSG00000162434.14	ENST00000672751.2
AK4	ENSG00000162433.15	ENST00000545314.5
DNAJC6	ENSG00000116675.16	ENST00000263441.11
LEPROT	ENSG00000213625.9	ENST00000371065.9
LEPR	ENSG00000116678.20	ENST00000349533.11
PDE4B	ENSG00000184588.18	ENST00000329654.8
SGIP1	ENSG00000118473.23	ENST00000371037.9
DYNLT5	ENSG00000152760.10	ENST00000282670.7
INSL5	ENSG00000172410.5	ENST00000304526.3
DNAI4	ENSG00000152763.17	ENST00000371026.8
MIER1	ENSG00000198160.15	ENST00000355977.10
SLC35D1	ENSG00000116704.8	ENST00000235345.6
C1orf141	ENSG00000203963.12	ENST00000371007.6
IL23R	ENSG00000162594.17	ENST00000347310.10
IL12RB2	ENSG00000081985.14	ENST00000674203.2
SERBP1	ENSG00000142864.15	ENST00000370994.8
GADD45A	ENSG00000116717.13	ENST00000370986.9
GNG12	ENSG00000172380.6	ENST00000370982.4
DIRAS3	ENSG00000162595.8	ENST00000370981.3
WLS	ENSG00000116729.14	ENST00000354777.6
RPE65	ENSG00000116745.8	ENST00000262340.6
DEPDC1	ENSG00000024526.17	ENST00000370966.9
LRRC7	ENSG00000033122.21	ENST00000651989.2
LRRC40	ENSG00000066557.6	ENST00000370952.4
SRSF11	ENSG00000116754.14	ENST00000370950.7
ANKRD13C	ENSG00000118454.13	ENST00000370944.9
CTH	ENSG00000116761.12	ENST00000411986.6
PTGER3	ENSG00000050628.21	ENST00000628037.2
ZRANB2	ENSG00000132485.14	ENST00000370920.8
NEGR1	ENSG00000172260.15	ENST00000357731.10
LRRIQ3	ENSG00000162620.16	ENST00000354431.9
FPGT-TNNI3K	ENSG00000259030.8	ENST00000557284.7
FPGT	ENSG00000254685.8	ENST00000370898.9
TNNI3K	ENSG00000116783.15	ENST00000326637.8
LRRC53	ENSG00000162621.7	ENST00000294635.5
ERICH3	ENSG00000178965.14	ENST00000326665.10
CRYZ	ENSG00000116791.14	ENST00000417775.5
TYW3	ENSG00000162623.16	ENST00000370867.8
LHX8	ENSG00000162624.16	ENST00000294638.9
SLC44A5	ENSG00000137968.17	ENST00000370859.8
ACADM	ENSG00000117054.15	ENST00000541113.6
RABGGTB	ENSG00000137955.16	ENST00000319942.8
MSH4	ENSG00000057468.7	ENST00000263187.4
ASB17	ENSG00000154007.7	ENST00000284142.7
ST6GALNAC3	ENSG00000184005.12	ENST00000328299.4
ST6GALNAC5	ENSG00000117069.15	ENST00000477717.6
PIGK	ENSG00000142892.15	ENST00000370812.8
AK5	ENSG00000154027.19	ENST00000354567.7
ZZZ3	ENSG00000036549.13	ENST00000370801.8
USP33	ENSG00000077254.14	ENST00000370794.7
MIGA1	ENSG00000180488.17	ENST00000443751.4
NEXN	ENSG00000162614.19	ENST00000330010.12
FUBP1	ENSG00000162613.18	ENST00000370768.7
DNAJB4	ENSG00000162616.9	ENST00000370763.6
GIPC2	ENSG00000137960.6	ENST00000370759.4
PTGFR	ENSG00000122420.10	ENST00000370758.5
IFI44L	ENSG00000137959.17	ENST00000370751.10
IFI44	ENSG00000137965.11	ENST00000370747.9
ADGRL4	ENSG00000162618.15	ENST00000661030.1
ADGRL2	ENSG00000117114.21	ENST00000370728.5
TTLL7	ENSG00000137941.17	ENST00000260505.13
PRKACB	ENSG00000142875.21	ENST00000370689.6
SAMD13	ENSG00000203943.9	ENST00000370673.7
DNASE2B	ENSG00000137976.8	ENST00000370665.4
RPF1	ENSG00000117133.11	ENST00000370654.6
GNG5	ENSG00000174021.12	ENST00000370645.9
SPATA1	ENSG00000122432.19	ENST00000699524.1
CTBS	ENSG00000117151.13	ENST00000370630.6
SSX2IP	ENSG00000117155.17	ENST00000437941.6
LPAR3	ENSG00000171517.6	ENST00000370611.4
MCOLN2	ENSG00000153898.13	ENST00000370608.8
DNAI3	ENSG00000162643.13	ENST00000370596.5
MCOLN3	ENSG00000055732.13	ENST00000370589.7
SYDE2	ENSG00000097096.10	ENST00000696556.1
C1orf52	ENSG00000162642.14	ENST00000471115.6
BCL10	ENSG00000142867.14	ENST00000648566.1
DDAH1	ENSG00000153904.21	ENST00000426972.8
CCN1	ENSG00000142871.18	ENST00000451137.7
ZNHIT6	ENSG00000117174.11	ENST00000370574.4
COL24A1	ENSG00000171502.15	ENST00000370571.7
ODF2L	ENSG00000122417.16	ENST00000460698.7
CLCA2	ENSG00000137975.8	ENST00000370565.5
CLCA1	ENSG00000016490.16	ENST00000234701.7
CLCA4	ENSG00000016602.9	ENST00000370563.3
SH3GLB1	ENSG00000097033.15	ENST00000370558.8
SELENOF	ENSG00000183291.18	ENST00000331835.10
HS2ST1	ENSG00000153936.18	ENST00000370550.10
ENSG00000267561	ENSG00000267561.2	ENST00000370548.3
LMO4	ENSG00000143013.13	ENST00000370544.10
PKN2	ENSG00000065243.20	ENST00000370521.8
GTF2B	ENSG00000137947.12	ENST00000370500.10
KYAT3	ENSG00000137944.18	ENST00000370491.7
RBMXL1	ENSG00000213516.10	ENST00000399794.6
GBP3	ENSG00000117226.13	ENST00000370481.9
GBP1	ENSG00000117228.11	ENST00000370473.5
GBP2	ENSG00000162645.13	ENST00000370466.4
GBP7	ENSG00000213512.3	ENST00000294671.3
GBP4	ENSG00000162654.9	ENST00000355754.7
GBP5	ENSG00000154451.15	ENST00000370459.8
GBP6	ENSG00000183347.15	ENST00000370456.5
LRRC8B	ENSG00000197147.15	ENST00000330947.7
ENSG00000288629	ENSG00000288629.1	ENST00000676334.1
LRRC8C	ENSG00000171488.15	ENST00000370454.9
ENSG00000271949	ENSG00000271949.1	ENST00000370453.5
LRRC8D	ENSG00000171492.14	ENST00000337338.9
ZNF326	ENSG00000162664.17	ENST00000340281.9
BARHL2	ENSG00000143032.8	ENST00000370445.5
ZNF644	ENSG00000122482.22	ENST00000337393.10
HFM1	ENSG00000162669.16	ENST00000370425.8
CDC7	ENSG00000097046.13	ENST00000234626.11
TGFBR3	ENSG00000069702.11	ENST00000370399.6
BRDT	ENSG00000137948.19	ENST00000394530.7
EPHX4	ENSG00000172031.7	ENST00000370383.5
SETSIP	ENSG00000230667.7	ENST00000596516.3
BTBD8	ENSG00000189195.15	ENST00000636805.2
C1orf146	ENSG00000203910.9	ENST00000370375.8
GLMN	ENSG00000174842.17	ENST00000370360.8
RPAP2	ENSG00000122484.9	ENST00000610020.2
GFI1	ENSG00000162676.13	ENST00000294702.6
EVI5	ENSG00000067208.17	ENST00000370331.5
RPL5	ENSG00000122406.14	ENST00000370321.8
DIPK1A	ENSG00000154511.12	ENST00000615519.4
MTF2	ENSG00000143033.18	ENST00000540243.5
TMED5	ENSG00000117500.13	ENST00000370282.8
CCDC18	ENSG00000122483.18	ENST00000343253.11
DR1	ENSG00000117505.13	ENST00000370272.9
FNBP1L	ENSG00000137942.18	ENST00000271234.13
BCAR3	ENSG00000137936.18	ENST00000370244.5
DNTTIP2	ENSG00000067334.14	ENST00000436063.7
GCLM	ENSG00000023909.10	ENST00000370238.8
ABCA4	ENSG00000198691.14	ENST00000370225.4
ARHGAP29	ENSG00000137962.13	ENST00000260526.11
ABCD3	ENSG00000117528.14	ENST00000370214.9
F3	ENSG00000117525.14	ENST00000334047.12
SLC44A3	ENSG00000143036.17	ENST00000271227.11
CNN3	ENSG00000117519.16	ENST00000394202.8
ALG14	ENSG00000172339.10	ENST00000370205.6
TLCD4	ENSG00000152078.10	ENST00000370203.9
TLCD4-RWDD3	ENSG00000271092.5	ENST00000604534.5
RWDD3	ENSG00000122481.17	ENST00000370202.5
PTBP2	ENSG00000117569.20	ENST00000609116.5
DPYD	ENSG00000188641.14	ENST00000370192.8
SNX7	ENSG00000162627.17	ENST00000529992.5
PLPPR5	ENSG00000117598.14	ENST00000696571.1
PLPPR4	ENSG00000117600.14	ENST00000457765.6
PALMD	ENSG00000099260.12	ENST00000263174.9
FRRS1	ENSG00000156869.14	ENST00000646001.2
AGL	ENSG00000162688.17	ENST00000361915.8
SLC35A3	ENSG00000117620.15	ENST00000533028.8
ENSG00000283761	ENSG00000283761.1	ENST00000638792.1
MFSD14A	ENSG00000156875.14	ENST00000370152.8
SASS6	ENSG00000156876.10	ENST00000287482.6
TRMT13	ENSG00000122435.11	ENST00000370141.8
LRRC39	ENSG00000122477.14	ENST00000370137.6
DBT	ENSG00000137992.15	ENST00000370132.8
RTCA	ENSG00000137996.13	ENST00000370128.9
CDC14A	ENSG00000079335.21	ENST00000717967.1
GPR88	ENSG00000181656.7	ENST00000315033.5
VCAM1	ENSG00000162692.12	ENST00000294728.7
EXTL2	ENSG00000162694.14	ENST00000535414.5
SLC30A7	ENSG00000162695.13	ENST00000370112.8
DPH5	ENSG00000117543.22	ENST00000370109.8
S1PR1	ENSG00000170989.10	ENST00000305352.7
OLFM3	ENSG00000118733.17	ENST00000370103.9
COL11A1	ENSG00000060718.22	ENST00000370096.9
RNPC3	ENSG00000185946.16	ENST00000423855.7
AMY2B	ENSG00000240038.8	ENST00000361355.8
AMY2A	ENSG00000243480.8	ENST00000414303.7
AMY1A	ENSG00000237763.10	ENST00000370083.9
AMY1B	ENSG00000174876.17	ENST00000370080.7
AMY1C	ENSG00000187733.7	ENST00000684141.1
PRMT6	ENSG00000198890.9	ENST00000370078.2
NTNG1	ENSG00000162631.20	ENST00000370068.6
VAV3	ENSG00000134215.16	ENST00000370056.9
SLC25A24	ENSG00000085491.17	ENST00000565488.6
NBPF4	ENSG00000196427.14	ENST00000415641.8
NBPF6	ENSG00000186086.19	ENST00000495380.7
EEIG2	ENSG00000162636.16	ENST00000405454.1
HENMT1	ENSG00000162639.16	ENST00000370032.9
PRPF38B	ENSG00000134186.12	ENST00000370025.9
FNDC7	ENSG00000143107.10	ENST00000370017.9
STXBP3	ENSG00000116266.11	ENST00000370008.4
AKNAD1	ENSG00000162641.20	ENST00000370001.8
GPSM2	ENSG00000121957.15	ENST00000406462.6
CLCC1	ENSG00000121940.17	ENST00000690509.1
WDR47	ENSG00000085433.17	ENST00000369965.8
TAF13	ENSG00000197780.11	ENST00000461096.7
TMEM167B	ENSG00000215717.7	ENST00000338272.9
CFAP276	ENSG00000179902.13	ENST00000369949.8
ELAPOR1	ENSG00000116299.17	ENST00000369939.8
SARS1	ENSG00000031698.13	ENST00000234677.7
CELSR2	ENSG00000143126.8	ENST00000271332.4
PSRC1	ENSG00000134222.16	ENST00000409138.6
MYBPHL	ENSG00000221986.7	ENST00000357155.2
SORT1	ENSG00000134243.12	ENST00000256637.8
PSMA5	ENSG00000143106.13	ENST00000271308.9
SYPL2	ENSG00000143028.9	ENST00000369872.4
ATXN7L2	ENSG00000162650.17	ENST00000459635.2
CYB561D1	ENSG00000174151.15	ENST00000528785.1
AMIGO1	ENSG00000181754.7	ENST00000369864.5
GPR61	ENSG00000156097.13	ENST00000527748.5
GNAI3	ENSG00000065135.12	ENST00000369851.7
GNAT2	ENSG00000134183.13	ENST00000679935.1
AMPD2	ENSG00000116337.20	ENST00000531734.6
GSTM4	ENSG00000168765.19	ENST00000326729.9
GSTM2	ENSG00000213366.13	ENST00000369831.6
GSTM1	ENSG00000134184.13	ENST00000483399.6
GSTM5	ENSG00000134201.12	ENST00000256593.8
GSTM3	ENSG00000134202.12	ENST00000361066.7
EPS8L3	ENSG00000198758.11	ENST00000369805.7
CSF1	ENSG00000184371.14	ENST00000329608.11
AHCYL1	ENSG00000168710.18	ENST00000369799.10
STRIP1	ENSG00000143093.15	ENST00000369796.5
ALX3	ENSG00000156150.9	ENST00000647563.2
UBL4B	ENSG00000186150.5	ENST00000334179.5
SLC6A17	ENSG00000197106.7	ENST00000331565.5
KCNC4	ENSG00000116396.15	ENST00000369787.7
RBM15	ENSG00000162775.17	ENST00000652747.1
SLC16A4	ENSG00000168679.18	ENST00000437429.6
LAMTOR5	ENSG00000134248.14	ENST00000256644.8
PROK1	ENSG00000143125.6	ENST00000271331.4
KCNA10	ENSG00000143105.7	ENST00000369771.4
KCNA2	ENSG00000177301.16	ENST00000369770.7
KCNA3	ENSG00000177272.10	ENST00000369769.4
CD53	ENSG00000143119.15	ENST00000648608.2
LRIF1	ENSG00000121931.16	ENST00000485275.2
DRAM2	ENSG00000156171.15	ENST00000484310.6
CEPT1	ENSG00000134255.16	ENST00000545121.5
DENND2D	ENSG00000162777.17	ENST00000369752.5
CHI3L2	ENSG00000064886.14	ENST00000445067.6
CHIA	ENSG00000134216.19	ENST00000369740.6
CIMAP3	ENSG00000173947.14	ENST00000369738.9
OVGP1	ENSG00000085465.13	ENST00000369732.4
WDR77	ENSG00000116455.14	ENST00000235090.10
ATP5PB	ENSG00000116459.11	ENST00000369722.8
C1orf162	ENSG00000143110.12	ENST00000343534.9
TMIGD3	ENSG00000121933.19	ENST00000369717.8
ADORA3	ENSG00000282608.2	ENST00000241356.5
RAP1A	ENSG00000116473.15	ENST00000356415.5
INKA2	ENSG00000197852.12	ENST00000357260.6
DDX20	ENSG00000064703.13	ENST00000680627.1
KCND3	ENSG00000171385.11	ENST00000302127.5
CTTNBP2NL	ENSG00000143079.15	ENST00000271277.11
WNT2B	ENSG00000134245.18	ENST00000369686.9
ST7L	ENSG00000007341.19	ENST00000360743.8
CAPZA1	ENSG00000116489.13	ENST00000263168.4
MOV10	ENSG00000155363.19	ENST00000413052.6
RHOC	ENSG00000155366.17	ENST00000369642.7
ENSG00000271810	ENSG00000271810.5	ENST00000606505.5
PPM1J	ENSG00000155367.16	ENST00000309276.11
TAFA3	ENSG00000184599.14	ENST00000361886.4
SLC16A1	ENSG00000155380.13	ENST00000679803.1
LRIG2	ENSG00000198799.12	ENST00000361127.6
MAGI3	ENSG00000081026.19	ENST00000307546.14
PHTF1	ENSG00000116793.16	ENST00000369604.6
RSBN1	ENSG00000081019.14	ENST00000261441.9
PTPN22	ENSG00000134242.16	ENST00000538253.5
BCL2L15	ENSG00000188761.13	ENST00000393316.8
AP4B1	ENSG00000134262.15	ENST00000713590.1
DCLRE1B	ENSG00000118655.8	ENST00000650450.2
